task,group,job_id,state,host,wall_seconds,allocated_memory_mib,gap_workspace_limit_mib,gnu_time_max_rss_kib,kernel_max_rss_kib,sampled_tree_peak_rss_kib,cgroup_peak_bytes
table3-C2-row1,table3-C2,390595,computed,phoenix4,5.599,510000,870,206740,,155024,
SG001-zero,SG001,390744,computed,phoenix4,9.985,510000,870,,207580,334432,
table3-C2-row12,table3-C2,390597,computed,phoenix10,3.53,768000,870,205944,,145112,
SG001-w2_plus_w1_squared,SG001,390598,computed,phoenix13.lptmc.jussieu.fr,6.433,768000,870,205952,,335332,
table3-C2-row19,table3-C2,390745,computed,phoenix7.lptmc.jussieu.fr,3.987,510000,870,,205932,143200,
SG002-zero,SG002,390600,computed,phoenix4,13.894,510000,870,207644,,336420,
table3-C2-row20,table3-C2,390746,computed,phoenix13.lptmc.jussieu.fr,3.024,768000,870,,207124,149804,
SG002-w2_plus_w1_squared,SG002,390602,computed,phoenix10,8.424,768000,870,207036,,319504,
table3-C2xC2-row4,table3-C2xC2,390747,computed,phoenix7.lptmc.jussieu.fr,3.174,510000,870,,205956,150516,
SG003-zero,SG003,390604,computed,phoenix13.lptmc.jussieu.fr,6.572,768000,870,207008,,324548,
table3-C2xC2-row13,table3-C2xC2,390748,computed,phoenix13.lptmc.jussieu.fr,2.52,768000,870,,206036,185564,
SG003-w2_plus_w1_squared,SG003,390749,computed,phoenix7.lptmc.jussieu.fr,24.061,510000,870,,206992,328632,
table3-C2xC2-row21,table3-C2xC2,390607,computed,phoenix10,2.471,768000,870,206968,,186000,
SG004-zero,SG004,390608,computed,phoenix13.lptmc.jussieu.fr,6.531,768000,870,207020,,325844,
table3-C2xC2xC2-row9,table3-C2xC2xC2,390750,computed,phoenix13.lptmc.jussieu.fr,3.119,768000,870,,207008,185592,
SG004-w2_plus_w1_squared,SG004,390751,computed,phoenix4,11.643,510000,870,,207628,329860,
table3-C2xC2xC2-row16,table3-C2xC2xC2,390611,computed,phoenix10,3.176,768000,870,207044,,184380,
SG005-zero,SG005,390612,computed,phoenix4,13.144,510000,870,207676,,333616,
table3-C2xC2xC4-row10,table3-C2xC2xC4,390752,computed,phoenix13.lptmc.jussieu.fr,4.821,768000,870,,206012,207608,
SG005-w2_plus_w1_squared,SG005,390614,computed,phoenix13.lptmc.jussieu.fr,22.851,768000,870,220368,,337068,
table3-C2xC2xC4-row17,table3-C2xC2xC4,390753,computed,phoenix13.lptmc.jussieu.fr,4.115,768000,870,,206984,207636,
SG006-zero,SG006,390616,computed,phoenix10,7.026,768000,870,206996,,273840,
table3-C2xC4-row5,table3-C2xC4,390754,computed,phoenix10,3.477,768000,870,,207148,145116,
SG006-w2_plus_w1_squared,SG006,390755,computed,phoenix4,68.078,510000,870,,211372,336500,
table3-C2xC4-row14,table3-C2xC4,390756,computed,phoenix13.lptmc.jussieu.fr,2.524,768000,870,,206040,185500,
SG007-zero,SG007,390620,computed,phoenix10,6.278,768000,870,207020,,281048,
table3-C2xC4-row15,table3-C2xC4,390621,computed,phoenix4,4.48,510000,870,206876,,209164,
SG007-w2_plus_w1_squared,SG007,390757,computed,phoenix10,6.48,768000,870,,205988,330572,
table3-C2xC4xC4-row11,table3-C2xC4xC4,390758,computed,phoenix13.lptmc.jussieu.fr,8.676,768000,870,,206008,207596,
SG008-zero,SG008,390759,computed,phoenix7.lptmc.jussieu.fr,8.785,510000,870,,206040,323640,
table3-C2xC4xC4-row18,table3-C2xC4xC4,390625,computed,phoenix10,5.781,768000,870,207064,,209448,
SG008-w2_plus_w1_squared,SG008,390626,computed,phoenix4,79.549,510000,870,227544,,336600,
table3-C2xC8-row6,table3-C2xC8,390760,computed,phoenix10,3.426,768000,870,,207072,182612,
SG009-zero,SG009,390761,computed,phoenix13.lptmc.jussieu.fr,6.529,768000,870,,206040,326112,
table3-C3-row2,table3-C3,390629,computed,phoenix13.lptmc.jussieu.fr,2.367,768000,870,206020,,187332,
SG009-w2_plus_w1_squared,SG009,390762,computed,phoenix10,7.231,768000,870,,206936,276244,
table3-C4-row3,table3-C4,390631,computed,phoenix10,2.469,768000,870,206004,,183680,
SG010-zero,SG010,390632,computed,phoenix13.lptmc.jussieu.fr,32.698,768000,870,267488,,327180,
table3-C4-row12,table3-C4,390763,computed,phoenix7.lptmc.jussieu.fr,2.821,510000,870,,206068,152584,
SG010-w2_plus_w1_squared,SG010,390634,computed,phoenix10,168.485,768000,870,271552,,525720,
table3-C4xC4-row7,table3-C4xC4,390764,computed,phoenix13.lptmc.jussieu.fr,3.028,768000,870,,207032,185568,
SG011-zero,SG011,390765,computed,phoenix7.lptmc.jussieu.fr,10.482,510000,870,,205920,327272,
table3-C4xC8-row8,table3-C4xC8,390766,computed,phoenix10,15.085,768000,870,,236748,236812,
SG011-w2_plus_w1_squared,SG011,390914,computed,phoenix4,129.045,510000,433500,,238292,342264,
table3-C5-row2,table3-C5,390768,computed,phoenix7.lptmc.jussieu.fr,2.872,510000,870,,205936,152688,
SG012-zero,SG012,390769,computed,phoenix7.lptmc.jussieu.fr,23.096,510000,870,,234660,327184,
table3-C6-row3,table3-C6,390770,computed,phoenix10,2.47,768000,870,,207100,179964,
SG012-w2_plus_w1_squared,SG012,390771,computed,phoenix10,34.916,768000,870,,240788,335896,
table3-C7-row2,table3-C7,390772,computed,phoenix7.lptmc.jussieu.fr,2.871,510000,870,,205940,151488,
SG013-zero,SG013,390773,computed,phoenix4,16.601,510000,870,,208308,329308,
table3-C8-row3,table3-C8,390774,computed,phoenix7.lptmc.jussieu.fr,2.921,510000,870,,206024,153536,
SG013-w2_plus_w1_squared,SG013,390915,computed,phoenix7.lptmc.jussieu.fr,48.851,510000,433500,,214164,332700,
table3-C8-row12,table3-C8,390776,computed,phoenix10,2.373,768000,870,,207084,182560,
SG014-zero,SG014,390916,computed,phoenix10,10.085,768000,652800,,207040,327628,
table3-C9-row2,table3-C9,390917,computed,phoenix13.lptmc.jussieu.fr,2.971,768000,652800,,205976,149692,
SG014-w2_plus_w1_squared,SG014,390918,computed,phoenix13.lptmc.jussieu.fr,8.426,768000,652800,,206076,323448,
table3-C16-row12,table3-C16,390919,computed,phoenix10,2.469,768000,652800,,207008,178652,
SG015-zero,SG015,390920,computed,phoenix10,9.484,768000,652800,,208028,275920,
SG015-w2_plus_w1_squared,SG015,390921,computed,phoenix13.lptmc.jussieu.fr,22.097,768000,652800,,207044,329204,
SG016-zero,SG016,390922,computed,phoenix10,12.98,768000,652800,,214192,328600,
SG016-w2_plus_w1_squared,SG016,390923,computed,phoenix10,14.594,768000,652800,,209120,276956,
SG017-zero,SG017,390924,computed,phoenix13.lptmc.jussieu.fr,7.923,768000,652800,,207004,334664,
SG017-w2_plus_w1_squared,SG017,390925,computed,phoenix13.lptmc.jussieu.fr,10.085,768000,652800,,207036,333020,
SG018-zero,SG018,390926,computed,phoenix7.lptmc.jussieu.fr,9.533,510000,433500,,206984,324888,
SG018-w2_plus_w1_squared,SG018,390927,computed,phoenix10,8.533,768000,652800,,207980,337116,
SG019-zero,SG019,390928,computed,phoenix13.lptmc.jussieu.fr,7.633,768000,652800,,205984,329716,
SG019-w2_plus_w1_squared,SG019,390929,computed,phoenix7.lptmc.jussieu.fr,10.342,510000,433500,,207004,334060,
SG020-zero,SG020,390930,computed,phoenix10,9.086,768000,652800,,207032,269988,
SG020-w2_plus_w1_squared,SG020,390931,computed,phoenix13.lptmc.jussieu.fr,10.227,768000,652800,,207084,322876,
SG021-zero,SG021,390932,computed,phoenix7.lptmc.jussieu.fr,14.448,510000,433500,,214156,327896,
SG021-w2_plus_w1_squared,SG021,390933,computed,phoenix10,19.904,768000,652800,,237736,335580,
SG022-zero,SG022,390934,computed,phoenix13.lptmc.jussieu.fr,11.877,768000,652800,,214144,334588,
SG022-w2_plus_w1_squared,SG022,390935,computed,phoenix7.lptmc.jussieu.fr,25.806,510000,433500,,226536,325020,
SG023-zero,SG023,390936,computed,phoenix13.lptmc.jussieu.fr,11.179,768000,652800,,207036,321032,
SG023-w2_plus_w1_squared,SG023,390937,computed,phoenix10,16.591,768000,652800,,216248,336140,
SG024-zero,SG024,390938,computed,phoenix13.lptmc.jussieu.fr,10.634,768000,652800,,207068,335076,
SG024-w2_plus_w1_squared,SG024,390939,computed,phoenix10,17.998,768000,652800,,215300,330408,
SG025-zero,SG025,390940,computed,phoenix7.lptmc.jussieu.fr,17.545,510000,433500,,217264,302260,
SG025-w2_plus_w1_squared,SG025,390941,computed,phoenix13.lptmc.jussieu.fr,44.886,768000,652800,,248912,323244,
SG026-zero,SG026,390942,computed,phoenix4,14.093,510000,433500,,207560,323952,
SG026-w2_plus_w1_squared,SG026,390943,computed,phoenix10,10.375,768000,652800,,208132,336212,
SG027-zero,SG027,390944,computed,phoenix7.lptmc.jussieu.fr,11.086,510000,433500,,208028,319612,
SG027-w2_plus_w1_squared,SG027,390945,computed,phoenix10,9.834,768000,652800,,208028,278364,
SG028-zero,SG028,390946,computed,phoenix4,14.098,510000,433500,,207580,332832,
SG028-w2_plus_w1_squared,SG028,390947,computed,phoenix7.lptmc.jussieu.fr,31.94,510000,433500,,214212,328028,
SG029-zero,SG029,390948,computed,phoenix10,7.279,768000,652800,,207044,335852,
SG029-w2_plus_w1_squared,SG029,390949,computed,phoenix4,11.64,510000,433500,,207576,329208,
SG030-zero,SG030,390950,computed,phoenix13.lptmc.jussieu.fr,8.381,768000,652800,,207996,333644,
SG030-w2_plus_w1_squared,SG030,390951,computed,phoenix10,22.926,768000,652800,,216232,269704,
SG031-zero,SG031,390952,computed,phoenix13.lptmc.jussieu.fr,7.428,768000,652800,,207976,323828,
SG031-w2_plus_w1_squared,SG031,390953,computed,phoenix4,99.423,510000,433500,,226028,330096,
SG032-zero,SG032,390954,computed,phoenix13.lptmc.jussieu.fr,6.683,768000,652800,,207092,324136,
SG032-w2_plus_w1_squared,SG032,390955,computed,phoenix7.lptmc.jussieu.fr,9.832,510000,433500,,205984,336052,
SG033-zero,SG033,390956,computed,phoenix13.lptmc.jussieu.fr,6.621,768000,652800,,207004,332436,
SG033-w2_plus_w1_squared,SG033,390957,computed,phoenix10,7.433,768000,652800,,206048,337172,
SG034-zero,SG034,390958,computed,phoenix13.lptmc.jussieu.fr,8.629,768000,652800,,208024,334496,
SG034-w2_plus_w1_squared,SG034,390959,computed,phoenix7.lptmc.jussieu.fr,28.871,510000,433500,,217220,325820,
SG035-zero,SG035,390960,computed,phoenix10,13.59,768000,652800,,230564,269476,
SG035-w2_plus_w1_squared,SG035,390961,computed,phoenix13.lptmc.jussieu.fr,22.39,768000,652800,,238800,324348,
SG036-zero,SG036,390962,computed,phoenix10,7.781,768000,652800,,207020,270236,
SG036-w2_plus_w1_squared,SG036,390963,computed,phoenix10,9.636,768000,652800,,208012,269676,
SG037-zero,SG037,390964,computed,phoenix7.lptmc.jussieu.fr,12.086,510000,433500,,207984,319284,
SG037-w2_plus_w1_squared,SG037,390965,computed,phoenix13.lptmc.jussieu.fr,10.631,768000,652800,,209056,334776,
SG038-zero,SG038,390966,computed,phoenix10,12.042,768000,652800,,214212,271000,
SG038-w2_plus_w1_squared,SG038,390967,computed,phoenix13.lptmc.jussieu.fr,104.063,768000,652800,,300228,331208,
SG039-zero,SG039,390968,computed,phoenix7.lptmc.jussieu.fr,9.993,510000,433500,,205992,327624,
SG039-w2_plus_w1_squared,SG039,390969,computed,phoenix10,10.333,768000,652800,,208124,279508,
SG040-zero,SG040,390970,computed,phoenix7.lptmc.jussieu.fr,10.879,510000,433500,,207064,322536,
SG040-w2_plus_w1_squared,SG040,390971,computed,phoenix10,78.685,768000,652800,,264404,372696,
SG041-zero,SG041,390972,computed,phoenix7.lptmc.jussieu.fr,11.783,510000,433500,,206956,318948,
SG041-w2_plus_w1_squared,SG041,390973,computed,phoenix4,27.701,510000,433500,,218300,334600,
SG042-zero,SG042,390974,computed,phoenix7.lptmc.jussieu.fr,15.985,510000,433500,,218348,322136,
SG042-w2_plus_w1_squared,SG042,390975,computed,phoenix7.lptmc.jussieu.fr,27.159,510000,433500,,233636,320036,
SG043-zero,SG043,390976,computed,phoenix4,20.0,510000,433500,,207588,332200,
SG043-w2_plus_w1_squared,SG043,390977,computed,phoenix7.lptmc.jussieu.fr,56.487,510000,433500,,252032,325032,
SG044-zero,SG044,390978,computed,phoenix4,18.202,510000,433500,,216812,324640,
SG044-w2_plus_w1_squared,SG044,390979,computed,phoenix10,27.261,768000,652800,,257188,273364,
SG045-zero,SG045,390980,computed,phoenix13.lptmc.jussieu.fr,8.528,768000,652800,,207036,338320,
SG045-w2_plus_w1_squared,SG045,390981,computed,phoenix4,14.589,510000,433500,,207612,324704,
SG046-zero,SG046,390982,computed,phoenix13.lptmc.jussieu.fr,8.923,768000,652800,,207040,334868,
SG046-w2_plus_w1_squared,SG046,390983,computed,phoenix13.lptmc.jussieu.fr,14.583,768000,652800,,217272,323580,
SG047-zero,SG047,390984,computed,phoenix4,256.35,510000,433500,,265960,335060,
SG047-w2_plus_w1_squared,SG047,390985,computed,phoenix10,184.17,768000,652800,,259304,270296,
SG048-zero,SG048,390986,computed,phoenix13.lptmc.jussieu.fr,11.681,768000,652800,,206976,323348,
SG048-w2_plus_w1_squared,SG048,390987,computed,phoenix7.lptmc.jussieu.fr,19.595,510000,433500,,216252,336056,
SG049-zero,SG049,390988,computed,phoenix13.lptmc.jussieu.fr,14.479,768000,652800,,209052,336004,
SG049-w2_plus_w1_squared,SG049,390989,computed,phoenix7.lptmc.jussieu.fr,37.326,510000,433500,,264448,326728,
SG050-zero,SG050,390990,computed,phoenix13.lptmc.jussieu.fr,11.275,768000,652800,,206984,334564,
SG050-w2_plus_w1_squared,SG050,390991,computed,phoenix13.lptmc.jussieu.fr,15.983,768000,652800,,230592,335084,
SG051-zero,SG051,390992,computed,phoenix13.lptmc.jussieu.fr,23.188,768000,652800,,221420,337200,
SG051-w2_plus_w1_squared,SG051,390993,computed,phoenix7.lptmc.jussieu.fr,185.601,510000,433500,,357508,357576,
SG052-zero,SG052,390994,computed,phoenix13.lptmc.jussieu.fr,10.222,768000,652800,,207068,335160,
SG052-w2_plus_w1_squared,SG052,390995,computed,phoenix13.lptmc.jussieu.fr,15.178,768000,652800,,217344,334884,
SG053-zero,SG053,390996,computed,phoenix13.lptmc.jussieu.fr,15.631,768000,652800,,229568,331660,
SG053-w2_plus_w1_squared,SG053,390997,computed,phoenix13.lptmc.jussieu.fr,21.286,768000,652800,,240856,390836,
SG054-zero,SG054,390998,computed,phoenix13.lptmc.jussieu.fr,8.571,768000,652800,,208028,324984,
SG054-w2_plus_w1_squared,SG054,390999,computed,phoenix13.lptmc.jussieu.fr,9.726,768000,652800,,207032,334760,
SG055-zero,SG055,391000,computed,phoenix13.lptmc.jussieu.fr,9.18,768000,652800,,207052,323348,
SG055-w2_plus_w1_squared,SG055,391001,computed,phoenix13.lptmc.jussieu.fr,15.037,768000,652800,,226440,334364,
SG056-zero,SG056,391002,computed,phoenix10,10.629,768000,652800,,208036,329224,
SG056-w2_plus_w1_squared,SG056,391003,computed,phoenix10,12.435,768000,652800,,208120,277428,
SG057-zero,SG057,391004,computed,phoenix13.lptmc.jussieu.fr,9.172,768000,652800,,207028,336056,
SG057-w2_plus_w1_squared,SG057,391005,computed,phoenix13.lptmc.jussieu.fr,13.99,768000,652800,,216272,331944,
SG058-zero,SG058,391006,computed,phoenix10,9.678,768000,652800,,207004,335876,
SG058-w2_plus_w1_squared,SG058,391007,computed,phoenix10,14.837,768000,652800,,231648,278692,
SG059-zero,SG059,391008,computed,phoenix13.lptmc.jussieu.fr,11.475,768000,652800,,215240,337536,
SG059-w2_plus_w1_squared,SG059,391009,computed,phoenix10,69.372,768000,652800,,311484,336012,
SG060-zero,SG060,391010,computed,phoenix13.lptmc.jussieu.fr,9.725,768000,652800,,208044,335076,
SG060-w2_plus_w1_squared,SG060,391011,computed,phoenix13.lptmc.jussieu.fr,12.081,768000,652800,,207068,334808,
SG061-zero,SG061,391012,computed,phoenix4,13.894,510000,433500,,207664,327700,
SG061-w2_plus_w1_squared,SG061,391013,computed,phoenix7.lptmc.jussieu.fr,10.644,510000,433500,,206068,332860,
SG062-zero,SG062,391014,computed,phoenix13.lptmc.jussieu.fr,7.678,768000,652800,,207080,320884,
SG062-w2_plus_w1_squared,SG062,391015,computed,phoenix4,22.208,510000,433500,,220564,338680,
SG063-zero,SG063,391016,computed,phoenix7.lptmc.jussieu.fr,13.138,510000,433500,,213104,328984,
SG063-w2_plus_w1_squared,SG063,391017,computed,phoenix13.lptmc.jussieu.fr,22.346,768000,652800,,241888,318560,
SG064-zero,SG064,391018,computed,phoenix7.lptmc.jussieu.fr,15.944,510000,433500,,218364,320868,
SG064-w2_plus_w1_squared,SG064,391019,computed,phoenix4,26.31,510000,433500,,219016,329492,
SG065-zero,SG065,391020,computed,phoenix13.lptmc.jussieu.fr,61.553,768000,652800,,240764,322600,
SG065-w2_plus_w1_squared,SG065,391021,computed,phoenix7.lptmc.jussieu.fr,103.488,510000,433500,,233676,322000,
SG066-zero,SG066,391022,computed,phoenix10,13.541,768000,652800,,215284,330332,
SG066-w2_plus_w1_squared,SG066,391023,computed,phoenix4,38.913,510000,433500,,227652,323604,
SG067-zero,SG067,391024,computed,phoenix10,13.882,768000,652800,,209104,336092,
SG067-w2_plus_w1_squared,SG067,391025,computed,phoenix10,24.5,768000,652800,,255176,338648,
SG068-zero,SG068,391026,computed,phoenix4,19.562,510000,433500,,207592,334516,
SG068-w2_plus_w1_squared,SG068,391027,computed,phoenix13.lptmc.jussieu.fr,18.145,768000,652800,,227564,325944,
SG069-zero,SG069,391028,computed,phoenix10,26.351,768000,652800,,226416,335700,
SG069-w2_plus_w1_squared,SG069,391029,computed,phoenix13.lptmc.jussieu.fr,34.353,768000,652800,,219368,329064,
SG070-zero,SG070,391030,computed,phoenix4,41.345,510000,433500,,214512,328748,
SG070-w2_plus_w1_squared,SG070,391031,computed,phoenix10,43.475,768000,652800,,263320,332420,
SG071-zero,SG071,391032,computed,phoenix7.lptmc.jussieu.fr,56.958,510000,433500,,234632,333744,
SG071-w2_plus_w1_squared,SG071,391033,computed,phoenix13.lptmc.jussieu.fr,55.838,768000,652800,,231584,330420,
SG072-zero,SG072,391034,computed,phoenix4,21.447,510000,433500,,207636,333232,
