2026-09-24T10:18:46.405682+00:00 SG011-w2_plus_w1_squared 390914
2026-09-24T10:18:46.418825+00:00 SG013-w2_plus_w1_squared 390915
2026-09-24T10:18:46.431536+00:00 SG014-zero 390916
2026-09-24T10:18:46.444265+00:00 table3-C9-row2 390917
2026-09-24T10:18:46.457144+00:00 SG014-w2_plus_w1_squared 390918
2026-09-24T10:18:46.469153+00:00 table3-C16-row12 390919
2026-09-24T10:18:46.481259+00:00 SG015-zero 390920
2026-09-24T10:18:46.493612+00:00 SG015-w2_plus_w1_squared 390921
2026-09-24T10:18:46.505792+00:00 SG016-zero 390922
2026-09-24T10:18:46.518131+00:00 SG016-w2_plus_w1_squared 390923
2026-09-24T10:18:46.531011+00:00 SG017-zero 390924
2026-09-24T10:18:46.543570+00:00 SG017-w2_plus_w1_squared 390925
2026-09-24T10:18:46.556163+00:00 SG018-zero 390926
2026-09-24T10:18:46.568837+00:00 SG018-w2_plus_w1_squared 390927
2026-09-24T10:18:46.581156+00:00 SG019-zero 390928
2026-09-24T10:18:46.593139+00:00 SG019-w2_plus_w1_squared 390929
2026-09-24T10:18:46.605659+00:00 SG020-zero 390930
2026-09-24T10:18:46.618228+00:00 SG020-w2_plus_w1_squared 390931
2026-09-24T10:18:46.630767+00:00 SG021-zero 390932
2026-09-24T10:18:46.643184+00:00 SG021-w2_plus_w1_squared 390933
2026-09-24T10:18:46.655669+00:00 SG022-zero 390934
2026-09-24T10:18:46.668382+00:00 SG022-w2_plus_w1_squared 390935
2026-09-24T10:18:46.680984+00:00 SG023-zero 390936
2026-09-24T10:18:46.693990+00:00 SG023-w2_plus_w1_squared 390937
2026-09-24T10:18:46.707289+00:00 SG024-zero 390938
2026-09-24T10:18:46.719997+00:00 SG024-w2_plus_w1_squared 390939
2026-09-24T10:18:46.732807+00:00 SG025-zero 390940
2026-09-24T10:18:46.746637+00:00 SG025-w2_plus_w1_squared 390941
2026-09-24T10:18:46.759313+00:00 SG026-zero 390942
2026-09-24T10:18:46.771981+00:00 SG026-w2_plus_w1_squared 390943
2026-09-24T10:18:46.784434+00:00 SG027-zero 390944
2026-09-24T10:18:46.798719+00:00 SG027-w2_plus_w1_squared 390945
2026-09-24T10:18:46.810700+00:00 SG028-zero 390946
2026-09-24T10:18:46.825119+00:00 SG028-w2_plus_w1_squared 390947
2026-09-24T10:18:46.837454+00:00 SG029-zero 390948
2026-09-24T10:18:46.849883+00:00 SG029-w2_plus_w1_squared 390949
2026-09-24T10:18:46.862342+00:00 SG030-zero 390950
2026-09-24T10:18:46.874946+00:00 SG030-w2_plus_w1_squared 390951
2026-09-24T10:18:46.887520+00:00 SG031-zero 390952
2026-09-24T10:18:46.900171+00:00 SG031-w2_plus_w1_squared 390953
2026-09-24T10:18:46.912883+00:00 SG032-zero 390954
2026-09-24T10:18:46.925632+00:00 SG032-w2_plus_w1_squared 390955
2026-09-24T10:18:46.937827+00:00 SG033-zero 390956
2026-09-24T10:18:46.950141+00:00 SG033-w2_plus_w1_squared 390957
2026-09-24T10:18:46.962460+00:00 SG034-zero 390958
2026-09-24T10:18:46.975146+00:00 SG034-w2_plus_w1_squared 390959
2026-09-24T10:18:46.988003+00:00 SG035-zero 390960
2026-09-24T10:18:47.000752+00:00 SG035-w2_plus_w1_squared 390961
2026-09-24T10:18:47.013053+00:00 SG036-zero 390962
2026-09-24T10:18:47.025335+00:00 SG036-w2_plus_w1_squared 390963
2026-09-24T10:18:47.038101+00:00 SG037-zero 390964
2026-09-24T10:18:47.050670+00:00 SG037-w2_plus_w1_squared 390965
2026-09-24T10:18:47.063006+00:00 SG038-zero 390966
2026-09-24T10:18:47.076095+00:00 SG038-w2_plus_w1_squared 390967
2026-09-24T10:18:47.088625+00:00 SG039-zero 390968
2026-09-24T10:18:47.101512+00:00 SG039-w2_plus_w1_squared 390969
2026-09-24T10:18:47.114183+00:00 SG040-zero 390970
2026-09-24T10:18:47.126820+00:00 SG040-w2_plus_w1_squared 390971
2026-09-24T10:18:47.139884+00:00 SG041-zero 390972
2026-09-24T10:18:47.152659+00:00 SG041-w2_plus_w1_squared 390973
2026-09-24T10:18:47.165247+00:00 SG042-zero 390974
2026-09-24T10:18:47.178172+00:00 SG042-w2_plus_w1_squared 390975
2026-09-24T10:18:47.190960+00:00 SG043-zero 390976
2026-09-24T10:18:47.205331+00:00 SG043-w2_plus_w1_squared 390977
2026-09-24T10:18:47.217866+00:00 SG044-zero 390978
2026-09-24T10:18:47.230431+00:00 SG044-w2_plus_w1_squared 390979
2026-09-24T10:18:47.242938+00:00 SG045-zero 390980
2026-09-24T10:18:47.255293+00:00 SG045-w2_plus_w1_squared 390981
2026-09-24T10:18:47.268175+00:00 SG046-zero 390982
2026-09-24T10:18:47.280634+00:00 SG046-w2_plus_w1_squared 390983
2026-09-24T10:18:47.292919+00:00 SG047-zero 390984
2026-09-24T10:18:47.306073+00:00 SG047-w2_plus_w1_squared 390985
2026-09-24T10:18:47.318847+00:00 SG048-zero 390986
2026-09-24T10:18:47.331757+00:00 SG048-w2_plus_w1_squared 390987
2026-09-24T10:18:47.344297+00:00 SG049-zero 390988
2026-09-24T10:18:47.356864+00:00 SG049-w2_plus_w1_squared 390989
2026-09-24T10:18:47.369899+00:00 SG050-zero 390990
2026-09-24T10:18:47.382426+00:00 SG050-w2_plus_w1_squared 390991
