task,group,job_id,state,host,wall_seconds,allocated_memory_mib,gap_workspace_limit_mib,gnu_time_max_rss_kib,kernel_max_rss_kib,sampled_tree_peak_rss_kib,cgroup_peak_bytes
SG206-w2_plus_w1_squared,SG206,,not_submitted,,,,,,,,
SG207-zero,SG207,,not_submitted,,,,,,,,
SG207-w2_plus_w1_squared,SG207,,not_submitted,,,,,,,,
SG208-zero,SG208,,not_submitted,,,,,,,,
SG208-w2_plus_w1_squared,SG208,,not_submitted,,,,,,,,
SG209-zero,SG209,,not_submitted,,,,,,,,
SG209-w2_plus_w1_squared,SG209,,not_submitted,,,,,,,,
SG210-zero,SG210,,not_submitted,,,,,,,,
SG210-w2_plus_w1_squared,SG210,,not_submitted,,,,,,,,
SG211-zero,SG211,,not_submitted,,,,,,,,
SG211-w2_plus_w1_squared,SG211,,not_submitted,,,,,,,,
SG212-zero,SG212,,not_submitted,,,,,,,,
SG212-w2_plus_w1_squared,SG212,,not_submitted,,,,,,,,
SG213-zero,SG213,,not_submitted,,,,,,,,
SG213-w2_plus_w1_squared,SG213,,not_submitted,,,,,,,,
SG214-zero,SG214,,not_submitted,,,,,,,,
SG214-w2_plus_w1_squared,SG214,,not_submitted,,,,,,,,
SG215-zero,SG215,,not_submitted,,,,,,,,
SG215-w2_plus_w1_squared,SG215,,not_submitted,,,,,,,,
SG216-zero,SG216,,not_submitted,,,,,,,,
SG216-w2_plus_w1_squared,SG216,,not_submitted,,,,,,,,
SG217-zero,SG217,,not_submitted,,,,,,,,
SG217-w2_plus_w1_squared,SG217,,not_submitted,,,,,,,,
SG218-zero,SG218,,not_submitted,,,,,,,,
SG218-w2_plus_w1_squared,SG218,,not_submitted,,,,,,,,
SG219-zero,SG219,,not_submitted,,,,,,,,
SG219-w2_plus_w1_squared,SG219,,not_submitted,,,,,,,,
SG220-zero,SG220,,not_submitted,,,,,,,,
SG220-w2_plus_w1_squared,SG220,,not_submitted,,,,,,,,
SG221-zero,SG221,,not_submitted,,,,,,,,
SG221-w2_plus_w1_squared,SG221,,not_submitted,,,,,,,,
SG222-zero,SG222,,not_submitted,,,,,,,,
SG222-w2_plus_w1_squared,SG222,,not_submitted,,,,,,,,
SG223-zero,SG223,,not_submitted,,,,,,,,
SG223-w2_plus_w1_squared,SG223,,not_submitted,,,,,,,,
SG224-zero,SG224,,not_submitted,,,,,,,,
SG224-w2_plus_w1_squared,SG224,,not_submitted,,,,,,,,
SG225-zero,SG225,,not_submitted,,,,,,,,
SG225-w2_plus_w1_squared,SG225,,not_submitted,,,,,,,,
SG226-zero,SG226,,not_submitted,,,,,,,,
SG226-w2_plus_w1_squared,SG226,,not_submitted,,,,,,,,
SG227-zero,SG227,,not_submitted,,,,,,,,
SG227-w2_plus_w1_squared,SG227,,not_submitted,,,,,,,,
SG228-zero,SG228,,not_submitted,,,,,,,,
SG228-w2_plus_w1_squared,SG228,,not_submitted,,,,,,,,
SG229-zero,SG229,,not_submitted,,,,,,,,
SG229-w2_plus_w1_squared,SG229,,not_submitted,,,,,,,,
SG230-zero,SG230,,not_submitted,,,,,,,,
SG230-w2_plus_w1_squared,SG230,,not_submitted,,,,,,,,
